Date,Currency,Mean,Buy,Sell
03/01/2011,US DOLLAR,80.7961,80.7239,80.8683
03/01/2011,STG POUND,125.644,125.519,125.77
03/01/2011,EURO,107.435,107.307,107.564
03/01/2011,SA RAND,12.2059,12.1849,12.227
03/01/2011,KES/USHS,28.6215,28.565,28.678
03/01/2011,KES/TSHS,18.5777,18.4992,18.6562
03/01/2011,AE DIRHAM,21.9979,21.9771,22.0188
03/01/2011,CAN $,81.5015,81.3465,81.6564
03/01/2011,S FRANC,86.4063,86.2891,86.5236
03/01/2011,JPY(100),99.4299,99.3045,99.5554
03/01/2011,SW KRONER,12.0217,12.002,12.0414
03/01/2011,NOR KRONER,13.8129,13.7939,13.8318
03/01/2011,DAN KRONER,14.4157,14.3988,14.4325
03/01/2011,IND RUPEE,1.8093,1.8073,1.8113
03/01/2011,HONGKONG $,10.3938,10.3838,10.4038
03/01/2011,SINGAPORE $,62.8666,62.7859,62.9473
03/01/2011,SAUDI RIYAL,21.5453,21.5252,21.5655
03/01/2011,CHINESE YUAN,12.2604,12.2485,12.2723
03/01/2011,AUSTRALIAN $,82.4444,82.3303,82.5585
04/01/2011,US DOLLAR,80.995,80.8978,81.0922
04/01/2011,STG POUND,125.285,125.121,125.448
04/01/2011,EURO,107.994,107.846,108.142
04/01/2011,SA RAND,12.1435,12.1114,12.1755
04/01/2011,KES/USHS,28.5821,28.4861,28.6782
04/01/2011,KES/TSHS,18.3963,18.3125,18.4801
04/01/2011,AE DIRHAM,22.0518,22.0244,22.0791
04/01/2011,CAN $,81.5125,81.3944,81.6306
04/01/2011,S FRANC,86.3843,86.2531,86.5154
04/01/2011,JPY(100),98.5524,98.4078,98.6969
04/01/2011,SW KRONER,12.0612,12.0378,12.0846
04/01/2011,NOR KRONER,13.8587,13.8323,13.8851
04/01/2011,DAN KRONER,14.4821,14.4639,14.5004
04/01/2011,IND RUPEE,1.8057,1.8031,1.8082
04/01/2011,HONGKONG $,10.4237,10.4105,10.4369
04/01/2011,SINGAPORE $,62.8673,62.7699,62.9647
04/01/2011,SAUDI RIYAL,21.5975,21.571,21.624
04/01/2011,CHINESE YUAN,12.253,12.237,12.269
04/01/2011,AUSTRALIAN $,81.5741,81.456,81.6923
05/01/2011,US DOLLAR,80.9389,80.8417,81.0361
05/01/2011,STG POUND,125.934,125.764,126.103
05/01/2011,EURO,107.408,107.27,107.546
05/01/2011,SA RAND,12.0546,12.0202,12.0891
05/01/2011,KES/USHS,28.9108,28.8143,29.0073
05/01/2011,KES/TSHS,18.0322,17.9796,18.0847
05/01/2011,AE DIRHAM,22.0368,22.0091,22.0645
05/01/2011,CAN $,80.9185,80.7954,81.0415
05/01/2011,S FRANC,85.1906,85.065,85.3161
05/01/2011,JPY(100),98.6065,98.4442,98.7689
05/01/2011,SW KRONER,12.026,12.0036,12.0484
05/01/2011,NOR KRONER,13.7717,13.7444,13.7989
05/01/2011,DAN KRONER,14.4157,14.3926,14.4388
05/01/2011,IND RUPEE,1.7915,1.7892,1.7938
05/01/2011,HONGKONG $,10.4148,10.4017,10.428
05/01/2011,SINGAPORE $,62.6802,62.6,62.7603
05/01/2011,SAUDI RIYAL,21.5831,21.5566,21.6096
05/01/2011,CHINESE YUAN,12.2264,12.2108,12.242
05/01/2011,AUSTRALIAN $,80.9915,80.8902,81.0928
06/01/2011,US DOLLAR,81.1322,81.0472,81.2172
06/01/2011,STG POUND,125.709,125.577,125.841
06/01/2011,EURO,106.608,106.5,106.716
06/01/2011,SA RAND,12.0806,12.0464,12.1147
06/01/2011,KES/USHS,28.6447,28.5531,28.7363
06/01/2011,KES/TSHS,18.1187,18.0381,18.1993
06/01/2011,AE DIRHAM,22.0894,22.0651,22.1138
06/01/2011,CAN $,81.4622,81.3504,81.5739
06/01/2011,S FRANC,83.9526,83.8259,84.0793
06/01/2011,JPY(100),97.5428,97.4113,97.6743
06/01/2011,SW KRONER,11.9753,11.9577,11.9928
06/01/2011,NOR KRONER,13.7128,13.693,13.7327
06/01/2011,DAN KRONER,14.3005,14.2832,14.3177
06/01/2011,IND RUPEE,1.7929,1.7909,1.795
06/01/2011,HONGKONG $,10.4356,10.4244,10.4469
06/01/2011,SINGAPORE $,62.7376,62.6476,62.8276
06/01/2011,SAUDI RIYAL,21.6341,21.6109,21.6574
06/01/2011,CHINESE YUAN,12.2486,12.2352,12.262
06/01/2011,AUSTRALIAN $,80.8929,80.796,80.9898
07/01/2011,US DOLLAR,81.1444,81.0611,81.2278
07/01/2011,STG POUND,125.313,125.157,125.47
07/01/2011,EURO,105.397,105.292,105.501
07/01/2011,SA RAND,11.9281,11.8857,11.9706
07/01/2011,KES/USHS,28.7143,28.6232,28.8054
07/01/2011,KES/TSHS,18.1097,18.0603,18.1591
07/01/2011,KES / RWF,7.2896,7.202,7.3772
07/01/2011,KES / BIF,15.0352,14.7733,15.2971
07/01/2011,AE DIRHAM,22.0928,22.0689,22.1166
07/01/2011,CAN $,81.3493,81.2434,81.4552
07/01/2011,S FRANC,84.0307,83.9183,84.1431
07/01/2011,JPY(100),97.1804,97.0668,97.294
07/01/2011,SW KRONER,11.8089,11.7899,11.8279
07/01/2011,NOR KRONER,13.6042,13.5827,13.6258
07/01/2011,DAN KRONER,14.1486,14.1335,14.1638
07/01/2011,IND RUPEE,1.7895,1.7872,1.7917
07/01/2011,HONGKONG $,10.4374,10.4265,10.4482
07/01/2011,SINGAPORE $,62.5994,62.5279,62.6709
07/01/2011,SAUDI RIYAL,21.6379,21.6151,21.6607
07/01/2011,CHINESE YUAN,12.2374,12.2246,12.2503
07/01/2011,AUSTRALIAN $,80.5886,80.4856,80.6917
10/01/2011,US DOLLAR,81.1747,81.0844,81.265
10/01/2011,STG POUND,126.123,125.962,126.283
10/01/2011,EURO,104.718,104.583,104.852
10/01/2011,SA RAND,11.9099,11.8579,11.9618
10/01/2011,KES/USHS,28.7899,28.6962,28.8835
10/01/2011,KES/TSHS,18.1646,18.1136,18.2156
10/01/2011,KES / RWF,7.293,7.211,7.375
10/01/2011,KES / BIF,15.202,15.0126,15.3914
10/01/2011,AE DIRHAM,22.1013,22.0758,22.1268
10/01/2011,CAN $,81.6267,81.5103,81.7431
10/01/2011,S FRANC,84.1473,84.0401,84.2546
10/01/2011,JPY(100),97.6283,97.5041,97.7525
10/01/2011,SW KRONER,11.7319,11.7165,11.7472
10/01/2011,NOR KRONER,13.5574,13.5407,13.5742
10/01/2011,DAN KRONER,14.0594,14.0401,14.0787
10/01/2011,IND RUPEE,1.786,1.7835,1.7886
10/01/2011,HONGKONG $,10.4409,10.4286,10.4532
10/01/2011,SINGAPORE $,62.5335,62.4399,62.6272
10/01/2011,SAUDI RIYAL,21.6454,21.6208,21.6701
10/01/2011,CHINESE YUAN,12.2386,12.2246,12.2525
10/01/2011,AUSTRALIAN $,80.712,80.6142,80.8099
11/01/2011,US DOLLAR,81.2181,81.1361,81.3
11/01/2011,STG POUND,126.364,126.226,126.502
11/01/2011,EURO,105.161,105.041,105.281
11/01/2011,SA RAND,11.891,11.8523,11.9297
11/01/2011,KES/USHS,28.7991,28.7085,28.8897
11/01/2011,KES/TSHS,18.3149,18.2657,18.3642
11/01/2011,KES / RWF,7.283,7.1956,7.3703
11/01/2011,KES / BIF,15.0153,14.8463,15.1844
11/01/2011,AE DIRHAM,22.1125,22.0893,22.1357
11/01/2011,CAN $,81.7546,81.6528,81.8565
11/01/2011,S FRANC,83.945,83.8341,84.0559
11/01/2011,JPY(100),97.7686,97.6431,97.8942
11/01/2011,SW KRONER,11.8121,11.7927,11.8314
11/01/2011,NOR KRONER,13.5981,13.5775,13.6186
11/01/2011,DAN KRONER,14.1107,14.0952,14.1261
11/01/2011,IND RUPEE,1.7906,1.7887,1.7926
11/01/2011,HONGKONG $,10.4406,10.4293,10.4518
11/01/2011,SINGAPORE $,62.632,62.5616,62.7025
11/01/2011,SAUDI RIYAL,21.6573,21.6317,21.6829
11/01/2011,CHINESE YUAN,12.2614,12.2484,12.2743
11/01/2011,AUSTRALIAN $,79.9145,79.8136,80.0155
12/01/2011,US DOLLAR,81.0708,80.9833,81.1583
12/01/2011,STG POUND,126.748,126.582,126.915
12/01/2011,EURO,105.278,105.154,105.402
12/01/2011,SA RAND,11.8203,11.7565,11.8841
12/01/2011,KES/USHS,28.8638,28.7709,28.9566
12/01/2011,KES/TSHS,18.2495,18.199,18.3001
12/01/2011,KES / RWF,7.364,7.2821,7.446
12/01/2011,KES / BIF,15.0797,14.8475,15.3118
12/01/2011,AE DIRHAM,22.0727,22.0477,22.0977
12/01/2011,CAN $,82.0679,81.9454,82.1904
12/01/2011,S FRANC,83.2336,83.1159,83.3513
12/01/2011,JPY(100),97.5425,97.396,97.689
12/01/2011,SW KRONER,11.8792,11.8585,11.8999
12/01/2011,NOR KRONER,13.6274,13.6056,13.6492
12/01/2011,DAN KRONER,14.1411,14.1221,14.1601
12/01/2011,IND RUPEE,1.7934,1.7909,1.796
12/01/2011,HONGKONG $,10.4251,10.4132,10.437
12/01/2011,SINGAPORE $,62.7581,62.6806,62.8355
12/01/2011,SAUDI RIYAL,21.6177,21.591,21.6445
12/01/2011,CHINESE YUAN,12.2678,12.2542,12.2813
12/01/2011,AUSTRALIAN $,80.0575,79.9468,80.1682
13/01/2011,US DOLLAR,80.9417,80.85,81.0333
13/01/2011,STG POUND,127.445,127.286,127.604
13/01/2011,EURO,106.018,105.883,106.153
13/01/2011,SA RAND,11.8278,11.7999,11.8556
13/01/2011,KES/USHS,28.9654,28.8647,29.0662
13/01/2011,KES/TSHS,18.3899,18.3258,18.4539
13/01/2011,KES / RWF,7.314,7.2316,7.3964
13/01/2011,KES / BIF,15.1347,14.8087,15.4607
13/01/2011,AE DIRHAM,22.0372,22.0114,22.0631
13/01/2011,CAN $,82.0208,81.8772,82.1644
13/01/2011,S FRANC,83.5407,83.4194,83.662
13/01/2011,JPY(100),97.4396,97.2523,97.6268
13/01/2011,SW KRONER,11.9602,11.9415,11.9789
13/01/2011,NOR KRONER,13.6746,13.6541,13.6951
13/01/2011,DAN KRONER,14.226,14.2094,14.2426
13/01/2011,IND RUPEE,1.7932,1.7912,1.7953
13/01/2011,HONGKONG $,10.4097,10.3972,10.4222
13/01/2011,SINGAPORE $,62.7358,62.6599,62.8117
13/01/2011,SAUDI RIYAL,21.5833,21.5583,21.6083
13/01/2011,CHINESE YUAN,12.2672,12.2526,12.2819
13/01/2011,AUSTRALIAN $,80.4804,80.3487,80.612
14/01/2011,US DOLLAR,80.7431,80.6611,80.825
14/01/2011,STG POUND,127.874,127.721,128.027
14/01/2011,EURO,107.703,107.566,107.84
14/01/2011,SA RAND,11.8321,11.7968,11.8675
14/01/2011,KES/USHS,29.1605,29.0628,29.2582
14/01/2011,KES/TSHS,18.2988,18.2493,18.3484
14/01/2011,KES / RWF,7.4001,7.3245,7.4757
14/01/2011,KES / BIF,15.2028,14.9088,15.4969
14/01/2011,AE DIRHAM,21.9832,21.96,22.0064
14/01/2011,CAN $,81.6047,81.4682,81.7412
14/01/2011,S FRANC,83.7323,83.6264,83.8381
14/01/2011,JPY(100),97.7962,97.6823,97.9101
14/01/2011,SW KRONER,12.0433,12.0253,12.0613
14/01/2011,NOR KRONER,13.7517,13.7234,13.7799
14/01/2011,DAN KRONER,14.4553,14.4368,14.4739
14/01/2011,IND RUPEE,1.7834,1.7814,1.7855
14/01/2011,HONGKONG $,10.3834,10.3722,10.3946
14/01/2011,SINGAPORE $,62.6814,62.5959,62.767
14/01/2011,SAUDI RIYAL,21.5303,21.5079,21.5528
14/01/2011,CHINESE YUAN,12.2293,12.2153,12.2432
14/01/2011,AUSTRALIAN $,80.4605,80.3385,80.5825
17/01/2011,US DOLLAR,80.9736,80.8917,81.0556
17/01/2011,STG POUND,128.39,128.23,128.549
17/01/2011,EURO,107.79,107.654,107.926
17/01/2011,SA RAND,11.6627,11.6001,11.7253
17/01/2011,KES/USHS,29.3677,29.2762,29.4592
17/01/2011,KES/TSHS,18.2776,18.1974,18.3579
17/01/2011,KES / RWF,7.379,7.3345,7.4235
17/01/2011,KES / BIF,15.1841,15.0144,15.3539
17/01/2011,AE DIRHAM,22.0459,22.0227,22.0691
17/01/2011,CAN $,81.9302,81.8356,82.0247
17/01/2011,S FRANC,83.8736,83.7702,83.9769
17/01/2011,JPY(100),97.7105,97.6077,97.8133
17/01/2011,SW KRONER,12.0941,12.0772,12.1109
17/01/2011,NOR KRONER,13.8303,13.8134,13.8471
17/01/2011,DAN KRONER,14.4468,14.4274,14.4662
17/01/2011,IND RUPEE,1.7791,1.777,1.7812
17/01/2011,HONGKONG $,10.413,10.4018,10.4242
17/01/2011,SINGAPORE $,62.7265,62.6387,62.8143
17/01/2011,SAUDI RIYAL,21.5918,21.5694,21.6142
17/01/2011,CHINESE YUAN,12.2836,12.2703,12.297
17/01/2011,AUSTRALIAN $,80.2327,80.1313,80.3342
18/01/2011,US DOLLAR,81.0708,80.9833,81.1583
18/01/2011,STG POUND,129.248,129.104,129.393
18/01/2011,EURO,107.993,107.858,108.129
18/01/2011,SA RAND,11.7646,11.7185,11.8107
18/01/2011,KES/USHS,29.5422,29.4486,29.6357
18/01/2011,KES/TSHS,18.4284,18.3469,18.51
18/01/2011,KES / RWF,7.3147,7.2328,7.3966
18/01/2011,KES / BIF,15.1723,14.8475,15.497
18/01/2011,AE DIRHAM,22.0727,22.0477,22.0977
18/01/2011,CAN $,82.2963,82.1892,82.4033
18/01/2011,S FRANC,84.3799,84.2637,84.4961
18/01/2011,JPY(100),98.2292,98.0887,98.3698
18/01/2011,SW KRONER,12.1149,12.0939,12.136
18/01/2011,NOR KRONER,13.8683,13.85,13.8867
18/01/2011,DAN KRONER,14.5031,14.4851,14.5211
18/01/2011,IND RUPEE,1.7813,1.7791,1.7835
18/01/2011,HONGKONG $,10.4231,10.4112,10.435
18/01/2011,SINGAPORE $,63.0411,62.9486,63.1337
18/01/2011,SAUDI RIYAL,21.6183,21.5944,21.6422
18/01/2011,CHINESE YUAN,12.3134,12.2993,12.3275
18/01/2011,AUSTRALIAN $,80.7223,80.5946,80.8499
19/01/2011,US DOLLAR,80.9333,80.8389,81.0278
19/01/2011,STG POUND,129.636,129.461,129.811
19/01/2011,EURO,108.977,108.823,109.131
19/01/2011,SA RAND,11.7684,11.7354,11.8015
19/01/2011,KES/USHS,29.5059,29.4097,29.6021
19/01/2011,KES/TSHS,18.4782,18.4258,18.5307
19/01/2011,KES / RWF,7.3333,7.2568,7.4098
19/01/2011,KES / BIF,15.1299,14.9578,15.302
19/01/2011,AE DIRHAM,22.035,22.0084,22.0616
19/01/2011,CAN $,81.8008,81.687,81.9146
19/01/2011,S FRANC,84.4263,84.3113,84.5412
19/01/2011,JPY(100),98.3247,98.1494,98.5
19/01/2011,SW KRONER,12.2188,12.1867,12.2509
19/01/2011,NOR KRONER,13.9477,13.9257,13.9698
19/01/2011,DAN KRONER,14.6478,14.6294,14.6662
19/01/2011,IND RUPEE,1.7834,1.781,1.7859
19/01/2011,HONGKONG $,10.406,10.3931,10.4188
19/01/2011,SINGAPORE $,63.2144,63.1159,63.3128
19/01/2011,SAUDI RIYAL,21.5808,21.5542,21.6074
19/01/2011,CHINESE YUAN,12.295,12.2803,12.3096
19/01/2011,AUSTRALIAN $,81.4837,81.3482,81.6193
20/01/2011,US DOLLAR,81.0661,80.9778,81.1544
20/01/2011,STG POUND,129.224,129.061,129.387
20/01/2011,EURO,109.179,109.042,109.316
20/01/2011,SA RAND,11.5941,11.5508,11.6374
20/01/2011,KES/USHS,28.9086,28.7969,29.0203
20/01/2011,KES/TSHS,18.4541,18.4093,18.4989
20/01/2011,KES / RWF,7.3151,7.2331,7.3971
20/01/2011,KES / BIF,15.1668,14.9961,15.3375
20/01/2011,AE DIRHAM,22.0711,22.0462,22.0961
20/01/2011,CAN $,81.3022,81.1999,81.4045
20/01/2011,S FRANC,84.8316,84.7242,84.9391
20/01/2011,JPY(100),98.7332,98.6,98.8663
20/01/2011,SW KRONER,12.2361,12.2188,12.2533
20/01/2011,NOR KRONER,13.9174,13.8974,13.9373
20/01/2011,DAN KRONER,14.647,14.6304,14.6636
20/01/2011,IND RUPEE,1.7784,1.7764,1.7804
20/01/2011,HONGKONG $,10.4171,10.4054,10.4288
20/01/2011,SINGAPORE $,62.9469,62.871,63.0228
20/01/2011,SAUDI RIYAL,21.6171,21.5929,21.6412
20/01/2011,CHINESE YUAN,12.3078,12.294,12.3217
20/01/2011,AUSTRALIAN $,80.5757,80.4838,80.6675
21/01/2011,US DOLLAR,81.0764,80.9972,81.1556
21/01/2011,STG POUND,129.023,128.873,129.174
21/01/2011,EURO,109.335,109.204,109.467
21/01/2011,SA RAND,11.4537,11.4066,11.5008
21/01/2011,KES/USHS,29.0714,28.9814,29.1615
21/01/2011,KES/TSHS,18.5382,18.4584,18.6179
21/01/2011,KES / RWF,7.308,7.2207,7.3953
21/01/2011,KES / BIF,15.1095,14.7864,15.4326
21/01/2011,AE DIRHAM,22.0742,22.0515,22.097
21/01/2011,CAN $,81.3591,81.2503,81.468
21/01/2011,S FRANC,83.8039,83.6969,83.911
21/01/2011,JPY(100),97.7979,97.6799,97.9158
21/01/2011,SW KRONER,12.1792,12.1624,12.1959
21/01/2011,NOR KRONER,13.7998,13.7828,13.8167
21/01/2011,DAN KRONER,14.6734,14.6567,14.6901
21/01/2011,IND RUPEE,1.7736,1.7709,1.7763
21/01/2011,HONGKONG $,10.413,10.4021,10.4238
21/01/2011,SINGAPORE $,62.9427,62.8568,63.0286
21/01/2011,SAUDI RIYAL,21.6201,21.5981,21.6421
21/01/2011,CHINESE YUAN,12.3067,12.2943,12.3191
21/01/2011,AUSTRALIAN $,79.9089,79.8147,80.0032
24/01/2011,US DOLLAR,81.0147,80.925,81.1044
24/01/2011,STG POUND,129.381,129.226,129.537
24/01/2011,EURO,110.188,110.051,110.325
24/01/2011,SA RAND,11.4903,11.4349,11.5456
24/01/2011,KES/USHS,28.5752,28.4818,28.6685
24/01/2011,KES/TSHS,18.6695,18.618,18.721
24/01/2011,KES / RWF,7.3198,7.2376,7.4019
24/01/2011,KES / BIF,15.1147,14.9437,15.2858
24/01/2011,AE DIRHAM,22.0571,22.0318,22.0825
24/01/2011,CAN $,81.5231,81.4198,81.6263
24/01/2011,S FRANC,84.4382,84.3213,84.5551
24/01/2011,JPY(100),97.8925,97.7841,98.001
24/01/2011,SW KRONER,12.2602,12.2421,12.2784
24/01/2011,NOR KRONER,13.9064,13.8901,13.9228
24/01/2011,DAN KRONER,14.7797,14.7625,14.7968
24/01/2011,IND RUPEE,1.7772,1.7753,1.7792
24/01/2011,HONGKONG $,10.3922,10.3801,10.4044
24/01/2011,SINGAPORE $,63.1472,63.0748,63.2196
24/01/2011,SAUDI RIYAL,21.6036,21.5789,21.6284
24/01/2011,CHINESE YUAN,12.3083,12.2943,12.3222
24/01/2011,AUSTRALIAN $,80.1479,80.0186,80.2772
25/01/2011,US DOLLAR,81.0217,80.9272,81.1161
25/01/2011,STG POUND,129.613,129.443,129.782
25/01/2011,EURO,110.631,110.488,110.774
25/01/2011,SA RAND,11.5571,11.5179,11.5963
25/01/2011,KES/USHS,28.5727,28.4777,28.6677
25/01/2011,KES/TSHS,18.7049,18.6523,18.7576
25/01/2011,KES / RWF,7.3191,7.2365,7.4017
25/01/2011,KES / BIF,15.1506,14.8553,15.446
25/01/2011,AE DIRHAM,22.059,22.0324,22.0856
25/01/2011,CAN $,81.6808,81.5807,81.7809
25/01/2011,S FRANC,85.4688,85.3464,85.5912
25/01/2011,JPY(100),98.2746,98.139,98.4101
25/01/2011,SW KRONER,12.3583,12.3394,12.3772
25/01/2011,NOR KRONER,14.0039,13.9808,14.027
25/01/2011,DAN KRONER,14.8381,14.8183,14.8578
25/01/2011,IND RUPEE,1.7797,1.7775,1.7818
25/01/2011,HONGKONG $,10.3995,10.3867,10.4123
25/01/2011,SINGAPORE $,63.2784,63.18,63.3769
25/01/2011,SAUDI RIYAL,21.6049,21.5789,21.631
25/01/2011,CHINESE YUAN,12.3095,12.2949,12.3241
25/01/2011,AUSTRALIAN $,80.73,80.6116,80.8484
26/01/2011,US DOLLAR,81.0031,80.9156,81.0906
26/01/2011,STG POUND,128.141,127.976,128.307
26/01/2011,EURO,110.905,110.763,111.047
26/01/2011,SA RAND,11.4796,11.4456,11.5137
26/01/2011,KES/USHS,28.3941,28.3017,28.4865
26/01/2011,KES/TSHS,18.6722,18.6212,18.7232
26/01/2011,KES / RWF,7.3826,7.2512,7.514
26/01/2011,KES / BIF,15.2219,14.9586,15.4853
26/01/2011,AE DIRHAM,22.0543,22.0292,22.0793
26/01/2011,CAN $,81.3369,81.2375,81.4362
26/01/2011,S FRANC,86.009,85.8937,86.1243
26/01/2011,JPY(100),98.724,98.6085,98.8394
26/01/2011,SW KRONER,12.4458,12.4286,12.4631
26/01/2011,NOR KRONER,14.0803,14.0559,14.1047
26/01/2011,DAN KRONER,14.8806,14.8635,14.8976
26/01/2011,IND RUPEE,1.7787,1.7762,1.7811
26/01/2011,HONGKONG $,10.4025,10.3906,10.4144
26/01/2011,SINGAPORE $,63.2812,63.1955,63.3669
26/01/2011,SAUDI RIYAL,21.6,21.5758,21.6242
26/01/2011,CHINESE YUAN,12.3054,12.2918,12.3189
26/01/2011,AUSTRALIAN $,80.9342,80.8266,81.0419
27/01/2011,US DOLLAR,80.9986,80.925,81.0722
27/01/2011,STG POUND,128.828,128.693,128.963
27/01/2011,EURO,110.98,110.847,111.113
27/01/2011,SA RAND,11.4598,11.3915,11.5281
27/01/2011,KES/USHS,28.3339,28.2464,28.4214
27/01/2011,KES/TSHS,18.488,18.4404,18.5357
27/01/2011,KES / RWF,7.3891,7.2651,7.5131
27/01/2011,KES / BIF,15.2104,14.9496,15.4711
27/01/2011,AE DIRHAM,22.0527,22.0318,22.0737
27/01/2011,CAN $,81.4418,81.3423,81.5413
27/01/2011,S FRANC,85.8274,85.7137,85.9411
27/01/2011,JPY(100),98.5435,98.3928,98.6942
27/01/2011,SW KRONER,12.5648,12.5462,12.5834
27/01/2011,NOR KRONER,14.0575,14.037,14.0779
27/01/2011,DAN KRONER,14.8953,14.8778,14.9129
27/01/2011,IND RUPEE,1.7773,1.7756,1.779
27/01/2011,HONGKONG $,10.4018,10.3917,10.4119
27/01/2011,SINGAPORE $,63.3198,63.2375,63.4021
27/01/2011,SAUDI RIYAL,21.5993,21.5789,21.6198
27/01/2011,CHINESE YUAN,12.3053,12.294,12.3167
27/01/2011,AUSTRALIAN $,80.5451,80.4314,80.6588
28/01/2011,US DOLLAR,81.025,80.9472,81.1028
28/01/2011,STG POUND,128.812,128.67,128.955
28/01/2011,EURO,111.063,110.945,111.182
28/01/2011,SA RAND,11.4721,11.421,11.5232
28/01/2011,KES/USHS,28.2445,28.1371,28.3518
28/01/2011,KES/TSHS,18.5252,18.4704,18.58
28/01/2011,KES / RWF,7.3991,7.2994,7.4987
28/01/2011,KES / BIF,15.1992,15.0303,15.368
28/01/2011,AE DIRHAM,22.0602,22.0385,22.082
28/01/2011,CAN $,81.3824,81.2806,81.4843
28/01/2011,S FRANC,85.7411,85.6331,85.8491
28/01/2011,JPY(100),98.0662,97.9632,98.1692
28/01/2011,SW KRONER,12.5766,12.5561,12.5971
28/01/2011,NOR KRONER,13.9903,13.9635,14.0171
28/01/2011,DAN KRONER,14.9088,14.8921,14.9256
28/01/2011,IND RUPEE,1.7731,1.771,1.7752
28/01/2011,HONGKONG $,10.4029,10.3922,10.4136
28/01/2011,SINGAPORE $,63.281,63.1956,63.3665
28/01/2011,SAUDI RIYAL,21.6064,21.5842,21.6286
28/01/2011,CHINESE YUAN,12.3045,12.288,12.321
28/01/2011,AUSTRALIAN $,80.2917,80.1944,80.3891
31/01/2011,EURO,110.61,110.449,110.771
31/01/2011,SA RAND,11.3324,11.3025,11.3622
31/01/2011,KES/USHS,28.3617,28.2066,28.5167
31/01/2011,KES/TSHS,18.4935,18.4357,18.5512
31/01/2011,KES / RWF,7.3766,7.276,7.4772
31/01/2011,KES / BIF,15.153,14.9821,15.3239
31/01/2011,AE DIRHAM,22.13,22.102,22.1579
31/01/2011,CAN $,81.1953,81.089,81.3016
31/01/2011,S FRANC,86.3384,86.2259,86.4509
31/01/2011,JPY(100),99.0504,98.9376,99.1633
31/01/2011,SW KRONER,12.4883,12.4734,12.5032
31/01/2011,NOR KRONER,13.9649,13.9426,13.9871
31/01/2011,DAN KRONER,14.8491,14.8316,14.8667
31/01/2011,IND RUPEE,1.7673,1.7651,1.7695
31/01/2011,HONGKONG $,10.4272,10.4151,10.4393
31/01/2011,SINGAPORE $,63.2666,63.1706,63.3626
31/01/2011,SAUDI RIYAL,21.67,21.6447,21.6953
